epoch,loss,acc,p0,p1,p2,p3
0,0.183861,0.535000,-0.098309,-0.145677,0.006378,-0.059383
1,0.427885,0.440000,-0.098072,-0.139280,0.013633,1.120744
2,0.387738,0.445000,-0.098084,-0.165914,0.013939,1.013424
3,0.339673,0.500000,-0.098181,-0.203280,0.014325,0.867362
4,0.221803,0.635000,-0.097983,-0.241082,0.013744,0.781035
5,0.218717,0.635000,-0.097844,-0.254832,0.020483,0.773602
6,0.228034,0.635000,-0.097623,-0.261202,0.018131,0.774236
7,0.233595,0.645000,-0.097543,-0.265512,0.023069,0.778644
8,0.236667,0.660000,-0.097390,-0.269539,0.015035,0.784165
9,0.241758,0.655000,-0.097298,-0.272832,0.006969,0.784761
10,0.243883,0.660000,-0.097233,-0.276035,-0.005290,0.785150
11,0.244508,0.665000,-0.097237,-0.279357,-0.006382,0.783933
12,0.243349,0.670000,-0.097220,-0.283080,-0.018585,0.781755
13,0.241193,0.665000,-0.097219,-0.287520,-0.029393,0.777746
14,0.239008,0.670000,-0.097227,-0.292442,-0.035801,0.769694
15,0.234857,0.670000,-0.097240,-0.298619,-0.025697,0.764630
16,0.235391,0.675000,-0.097241,-0.305748,-0.034987,0.753329
17,0.232869,0.680000,-0.097238,-0.313461,-0.035577,0.741312
18,0.230434,0.680000,-0.097226,-0.322469,-0.018093,0.729052
19,0.228813,0.690000,-0.097212,-0.331959,-0.000869,0.710553
20,0.224899,0.690000,-0.097214,-0.343577,-0.009480,0.692368
21,0.223868,0.695000,-0.097217,-0.355577,-0.024598,0.667726
22,0.219939,0.680000,-0.097208,-0.369963,-0.018310,0.643235
23,0.216864,0.680000,-0.097204,-0.384286,-0.016121,0.614419
24,0.212374,0.695000,-0.097204,-0.400549,-0.016088,0.579250
25,0.207961,0.705000,-0.097206,-0.419722,-0.021449,0.538617
26,0.201334,0.720000,-0.097224,-0.441092,-0.011119,0.495540
27,0.192802,0.725000,-0.097213,-0.466535,-0.021770,0.450723
28,0.186788,0.730000,-0.097242,-0.496444,-0.020527,0.395682
29,0.178384,0.740000,-0.097322,-0.530689,-0.008768,0.341730
30,0.167895,0.780000,-0.097335,-0.568355,-0.007404,0.276397
31,0.154578,0.815000,-0.097315,-0.612914,-0.008945,0.196983
32,0.149000,0.920000,-0.097306,-0.665960,-0.008871,0.096905
33,0.142883,0.930000,-0.097301,-0.705805,-0.007401,0.132638
